"","boot","cols","Accuracy","acc_teste","mean_acc_test"
"1",1,1,1,0.51,0.4775
"2",1,2,1,0.41,0.4775
"3",1,3,1,0.51,0.4775
"4",1,4,1,0.445,0.4775
"5",2,1,1,0.525,0.475
"6",2,2,1,0.445,0.475
"7",2,3,1,0.48,0.475
"8",2,4,1,0.47,0.475
"9",3,1,1,0.54,0.4875
"10",3,2,1,0.46,0.4875
"11",3,3,1,0.515,0.4875
"12",3,4,1,0.44,0.4875
"13",4,1,1,0.545,0.4925
"14",4,2,1,0.465,0.4925
"15",4,3,1,0.52,0.4925
"16",4,4,1,0.445,0.4925
"17",5,1,1,0.525,0.4925
"18",5,2,1,0.47,0.4925
"19",5,3,1,0.515,0.4925
"20",5,4,1,0.45,0.4925
"21",6,1,1,0.545,0.5225
"22",6,2,1,0.5,0.5225
"23",6,3,1,0.615,0.5225
"24",6,4,1,0.475,0.5225
"25",7,1,1,0.52,0.525
"26",7,2,1,0.535,0.525
"27",7,3,1,0.53,0.525
"28",7,4,1,0.505,0.525
"29",8,1,1,0.5,0.505
"30",8,2,1,0.405,0.505
"31",8,3,1,0.51,0.505
"32",8,4,1,0.515,0.505
"33",9,1,1,0.48,0.48
"34",9,2,1,0.475,0.48
"35",9,3,1,0.48,0.48
"36",9,4,1,0.5,0.48
"37",10,1,1,0.54,0.5
"38",10,2,1,0.465,0.5
"39",10,3,1,0.535,0.5
"40",10,4,1,0.455,0.5
"41",11,1,1,0.505,0.5025
"42",11,2,1,0.5,0.5025
"43",11,3,1,0.465,0.5025
"44",11,4,1,0.565,0.5025
"45",12,1,1,0.48,0.4825
"46",12,2,1,0.45,0.4825
"47",12,3,1,0.505,0.4825
"48",12,4,1,0.485,0.4825
"49",13,1,1,0.57,0.4425
"50",13,2,1,0.45,0.4425
"51",13,3,1,0.435,0.4425
"52",13,4,1,0.425,0.4425
"53",14,1,1,0.54,0.49
"54",14,2,1,0.445,0.49
"55",14,3,1,0.525,0.49
"56",14,4,1,0.455,0.49
"57",15,1,1,0.525,0.535
"58",15,2,1,0.505,0.535
"59",15,3,1,0.555,0.535
"60",15,4,1,0.545,0.535
"61",16,1,1,0.52,0.475
"62",16,2,1,0.425,0.475
"63",16,3,1,0.535,0.475
"64",16,4,1,0.43,0.475
"65",17,1,1,0.52,0.5025
"66",17,2,1,0.465,0.5025
"67",17,3,1,0.565,0.5025
"68",17,4,1,0.485,0.5025
"69",18,1,1,0.54,0.535
"70",18,2,1,0.53,0.535
"71",18,3,1,0.54,0.535
"72",18,4,1,0.48,0.535
"73",19,1,1,0.445,0.4725
"74",19,2,1,0.485,0.4725
"75",19,3,1,0.485,0.4725
"76",19,4,1,0.46,0.4725
"77",20,1,1,0.485,0.4825
"78",20,2,1,0.48,0.4825
"79",20,3,1,0.56,0.4825
"80",20,4,1,0.455,0.4825
